paper,title,doi,openalex_title,sim_openalex
agile_2019_018,Towards a Usability Scale for Participatory GIS,10.1007/978-3-030-14745-7_18,Towards a Usability Scale for Participatory GIS,1.0
agile_2021_014,A Socially Aware Huff Model for Destination Choice in Nature-based Tourism (copernicus.org),10.5194/agile-giss-2-14-2021,A Socially Aware Huff Model for Destination Choice in Nature-based Tourism,0.9079754601226994
agile_2020_005,Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling,10.5194/agile-giss-1-6-2020,Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling,1.0
agile_2020_013,Uncovering spatiotemporal biases in place-based social sensing,10.5194/agile-giss-1-14-2020,Uncovering spatiotemporal biases in place-based social sensing,1.0
agile_2020_021,Exploring the correlations between spatiotemporal daily activity-travel patterns and stated interest and perception of risk with self-driving cars,10.5194/agile-giss-1-22-2020,Exploring the correlations between spatiotemporal daily activity-travel patterns and stated interest and perception of risk with self-driving cars,1.0
agile_2022_003,Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility,10.5194/agile-giss-3-3-2022,Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility,1.0
agile_2022_011,Machine Learning with Kay,10.5194/agile-giss-3-11-2022,Machine Learning with &amp;lt;i&amp;gt;Kay&amp;lt;/i&amp;gt;,0.6097560975609756
agile_2022_019,Unlocking social network analysis methods for studying human mobility,10.5194/agile-giss-3-19-2022,Unlocking social network analysis methods for studying human mobility,1.0
agile_2023_001,From Floorplan to Navigation Concepts: Automatic Generation of Text-based Games,10.5194/agile-giss-4-2-2023,From Floorplan to Navigation Concepts: Automatic Generation of Text-based Games,1.0
agile_2023_009,Semantic complexity of geographic questions - A comparison in terms of conceptual transformations of answers,10.5194/agile-giss-4-10-2023,Semantic complexity of geographic questions - A comparison in terms of conceptual transformations of answers,1.0
agile_2024_003,The Impact of Traffic Lights on Modal Split and Route Choice: A use-case in Vienna,10.5194/agile-giss-5-4-2024,The Impact of Traffic Lights on Modal Split and Route Choice: A use-case in Vienna,1.0
agile_2024_011,Enhancing toponym identification: Leveraging Topo-BERT and open-source data to differentiate between toponyms and extract spatial relationships,10.5194/agile-giss-5-12-2024,Enhancing toponym identification: Leveraging Topo-BERT and open-source data to differentiate between toponyms and extract spatial relationships,1.0
giscience_2016_008,Model-Based Clustering of Social Vulnerability to Urban Extreme Heat Events,10.1007/978-3-319-45738-3_8,Model-Based Clustering of Social Vulnerability to Urban Extreme Heat Events,1.0
giscience_2016_016,Exploratory Chronotopic Data Analysis,10.1007/978-3-319-45738-3_16,Exploratory Chronotopic Data Analysis,1.0
giscience_2018_007,Is Salience Robust? A Heterogeneity Analysis of Survey Ratings,10.4230/LIPIcs.GIScience.2018.7,Is Salience Robust? A Heterogeneity Analysis of Survey Ratings,1.0
giscience_2018_015,Enhanced Multi Criteria Decision Analysis for Planning Power Transmission Lines,10.4230/LIPIcs.GIScience.2018.15,Enhanced Multi Criteria Decision Analysis for Planning Power Transmission Lines,1.0
giscience_2021_007,Introducing Diversion Graph for Real-Time Spatial Data Analysis with Location Based Social Networks,10.4230/lipics.giscience.2021.i.7,Introducing Diversion Graph for Real-Time Spatial Data Analysis with Location Based Social Networks,1.0
giscience_2021_015,Volume from Outlines on Terrains,10.4230/lipics.giscience.2021.i.16,Volume from Outlines on Terrains,1.0
giscience_2021_023,Coordinated Schematization for Visualizing Mobility Patterns on Networks,10.4230/lipics.giscience.2021.ii.7,Coordinated Schematization for Visualizing Mobility Patterns on Networks,1.0
giscience_2023_006,Map Reproducibility in Geoscientific Publications: An Exploratory Study,10.4230/LIPIcs.GIScience.2023.6,Map Reproducibility in Geoscientific Publications: An Exploratory Study,1.0
agile_2018_008,Charting the Geographies of Crowdsourced Information in Greater London,10.1007/978-3-319-78208-9_8,Charting the Geographies of Crowdsourced Information in Greater London,1.0
agile_2018_016,Mixed Traffic Trajectory Prediction Using LSTM–Based Models in Shared Space,10.1007/978-3-319-78208-9_16,Mixed Traffic Trajectory Prediction Using LSTM–Based Models in Shared Space,1.0
agile_2017_002,Mining Rainfall Spatio-Temporal Patterns in Twitter: A Temporal Approach,10.1007/978-3-319-56759-4_2,Mining Rainfall Spatio-Temporal Patterns in Twitter: A Temporal Approach,1.0
agile_2017_010,Spatio-Temporal Road Coverage of Probe Vehicles: A Case Study on Crowd-Sensing of Parking Availability with Taxis,10.1007/978-3-319-56759-4_10,Spatio-Temporal Road Coverage of Probe Vehicles: A Case Study on Crowd-Sensing of Parking Availability with Taxis,1.0
agile_2020_002,On the Evaluation and Comparison of Region Interpolation Methods,10.5194/agile-giss-1-3-2020,On the Evaluation and Comparison of Region Interpolation Methods,1.0
agile_2020_010,Hey You! Let’s Talk. Dialogue-Initiatives Revisited for Wayfinding Instructions,10.5194/agile-giss-1-11-2020,Hey You! Let’s Talk. Dialogue-Initiatives Revisited for Wayfinding Instructions,1.0
agile_2020_018,Tracking Hurricane Dorian in GDELT and Twitter,10.5194/agile-giss-1-19-2020,Tracking Hurricane Dorian in GDELT and Twitter,1.0
