identity,name,group,conf,year,paper,consolidated_data,consolidated_methods,consolidated_results
orcid:0000-0003-4916-9838,Alexander Zipf,agile_post,agile,2021,agile_2021_004,D,A,D
orcid:0000-0003-4916-9838,Alexander Zipf,giscience_post,giscience,2021,giscience_2021_019,D,A,D
orcid:0000-0003-4916-9838,Alexander Zipf,agile_post,agile,2023,agile_2023_004,A,A,A
orcid:0000-0003-4916-9838,"Zipf, Alexander",giscience_post,giscience,2023,giscience_2023_007,D,A,A
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_pre,agile,2017,agile_2017_014,D,D,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_pre,agile,2017,agile_2017_019,U,D,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,giscience_pre,giscience,2018,giscience_2018_005,A,D,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,giscience_pre,giscience,2018,giscience_2018_017,D,D,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_pre,agile,2019,agile_2019_002,A,D,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_post,agile,2021,agile_2021_014,A,A,D
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_post,agile,2022,agile_2022_009,A,A,A
orcid:0009-0003-1968-887X,Krzysztof Janowicz,agile_post,agile,2022,agile_2022_021,A,A,A
